catalog_event_id,begin,end,origin,duration_hours,nearest_other_catalog_gap_hours,isolated_at_48_hours,lstm_static_catalog_coverage,lstm_saocp_catalog_coverage,lstm_coverage_gain,lstm_unrelated_events_in_display,cnn_lstm_static_catalog_coverage,cnn_lstm_saocp_catalog_coverage,cnn_lstm_coverage_gain,cnn_lstm_unrelated_events_in_display,unet_static_catalog_coverage,unet_saocp_catalog_coverage,unet_coverage_gain,unet_unrelated_events_in_display,runet_static_catalog_coverage,runet_saocp_catalog_coverage,runet_coverage_gain,runet_unrelated_events_in_display,minimum_saocp_catalog_coverage,minimum_coverage_gain,mean_coverage_gain,all_saocp_coverages_at_least_0_5,all_saocp_coverages_improve,unrelated_display_events_total,clean_fixed_12h_display,eligible_before_display_filter,eligible,selection_rank,selected
186,2014-08-24 13:15:00,2014-08-25 05:26:00,FP,16.18333333,45.68333333,False,0,0,0,0,0,0,0,0,0,0.4179429454,0.4179429454,0,0,0,0,0,0,0,0.1044857364,False,False,0,True,False,False,,False
187,2014-08-27 03:07:00,2014-08-27 22:00:00,Chinchilla,18.88333333,45.68333333,False,0.5901292733,0.9957910121,0.4056617387,0,0.5887603119,0.5944671227,0.005706810827,0,0.5727407326,0.9611546926,0.38841396,0,0.5265364372,0.9745613122,0.448024875,0,0.5944671227,0.005706810827,0.3119518461,True,True,0,True,False,False,,False
188,2014-09-06 18:24:00,2014-09-08 07:06:00,FP,36.7,97.9,True,0.8373044278,0.8460190963,0.008714668483,0,0.8939970708,0.7820791326,-0.1119179382,0,0.8424815319,0.8969697396,0.05448820769,0,0.09399358159,0.2947564563,0.2007628747,0,0.2947564563,-0.1119179382,0.03801195315,False,False,0,True,False,False,,False
189,2014-09-12 09:00:00,2014-09-12 15:00:00,FP,6,6.666666667,False,0.91411625,1,0.08588375,0,0.9095525926,0,-0.9095525926,1,0,0,0,2,0,0,0,2,0,-0.9095525926,-0.2059172106,False,False,5,False,False,False,,False
190,2014-09-12 21:40:00,2014-09-14 11:51:00,Chinchilla,38.18333333,6.666666667,False,1,1,0,0,1,0.9993152044,-0.0006847955769,0,0.7292368616,0.9257425869,0.1965057253,0,0.7098597119,1,0.2901402881,0,0.9257425869,-0.0006847955769,0.1214903045,True,False,0,True,False,False,,False
191,2014-09-17 02:00:00,2014-09-18 20:00:00,RC,42,62.15,True,0.6094976984,0.5641736971,-0.04532400132,1,1,0.7683104828,-0.2316895172,0,0.6838650794,0.8244122288,0.1405471495,0,0.4585222817,0.7669899802,0.3084676984,0,0.5641736971,-0.2316895172,0.04300033234,True,False,1,False,False,False,,False
192,2014-12-22 01:06:00,2014-12-23 10:23:00,FP,33.28333333,25.51666667,False,0.854999783,0.297680237,-0.557319546,0,0.8533027374,0.3576326573,-0.4956700801,0,0.4266171925,0.6439121933,0.2172950008,0,0.4216254548,0.234638416,-0.1869870389,0,0.234638416,-0.557319546,-0.255670416,False,False,0,True,False,False,,False
193,2014-12-24 11:54:00,2014-12-26 15:54:00,Chi,52,25.51666667,False,0.2538100107,0.635224578,0.3814145673,1,0.1829594712,0.1219220726,-0.0610373985,0,0,0.378866047,0.378866047,0,0,0,0,0,0,-0.0610373985,0.174810804,False,False,1,False,False,False,,False
194,2015-01-02 14:34:00,2015-01-02 20:25:00,Chi,5.85,20.86666667,False,0.2668797721,0.570465717,0.3035859449,0,0.4347567426,0.4442725071,0.009515764482,0,0,0.2521278253,0.2521278253,0,0,0,0,0,0,0,0.1413073837,False,False,0,True,False,False,,False
195,2015-01-03 17:17:00,2015-01-04 06:34:00,Chi,13.28333333,20.86666667,False,1,0,-1,0,1,0.4073355291,-0.5926644709,0,0.6011767252,0.2590839189,-0.3420928064,0,0.4736020703,0.1316406524,-0.3419614178,0,0,-1,-0.5691796738,False,False,0,True,False,False,,False
